wave length,direct light
348.69,185.6
349.27,185
349.84,153.2
350.42,169
351,200.8
351.57,173.6
352.15,183.8
352.73,194.2
353.3,234.8
353.88,209
354.45,207.4
355.03,197.4
355.6,190
356.18,185.2
356.75,214.6
357.33,201
357.9,206
358.47,187.2
359.05,213.8
359.62,190.8
360.19,194.6
360.77,137.4
361.34,177.8
361.91,171.4
362.49,197.2
363.06,207
363.63,167.2
364.2,219.8
364.77,194.2
365.34,210.4
365.92,197.2
366.49,249.2
367.06,203.8
367.63,197.4
368.2,190.8
368.77,191.2
369.34,195
369.91,209
370.48,235.2
371.05,215.8
371.62,213.8
372.19,239.8
372.75,216.2
373.32,206.6
373.89,222.6
374.46,250
375.03,236.4
375.59,255
376.16,277.8
376.73,264.2
377.3,291
377.86,281.4
378.43,273
379,256
379.56,289.4
380.13,309.2
380.69,285
381.26,267.8
381.83,335.2
382.39,295.8
382.96,314.2
383.52,340.2
384.09,357.8
384.65,327.8
385.21,351.8
385.78,371
386.34,371.8
386.91,394.8
387.47,398.4
388.03,386
388.6,421.8
389.16,402.6
389.72,458.8
390.28,480.2
390.85,488
391.41,489.2
391.97,515.4
392.53,488.6
393.09,474
393.65,528.6
394.21,510.8
394.77,511
395.34,564.8
395.9,559.2
396.46,572
397.02,570.2
397.58,570.8
398.13,545
398.69,617.4
399.25,597.4
399.81,572.8
400.37,629
400.93,640.2
401.49,624.4
402.05,655.4
402.6,658
403.16,666.2
403.72,679.8
404.28,702.2
404.83,726.8
405.39,749.8
405.95,757.4
406.5,808.2
407.06,847.8
407.61,794.6
408.17,780
408.73,841
409.28,891
409.84,889
410.39,860
410.95,898.2
411.5,911.2
412.06,918.6
412.61,945.8
413.16,973.4
413.72,993.8
414.27,1026.4
414.82,1000.4
415.38,1024.6
415.93,1058.2
416.48,1040.6
417.04,1073.6
417.59,1107.8
418.14,1147.8
418.69,1099.4
419.24,1120.6
419.79,1168.6
420.35,1189.4
420.9,1202.2
421.45,1245
422,1216.6
422.55,1248.4
423.1,1322.4
423.65,1318.4
424.2,1352.8
424.75,1379.2
425.3,1375
425.85,1390.6
426.4,1425.4
426.95,1501
427.49,1529.2
428.04,1533
428.59,1587
429.14,1584.4
429.69,1628.6
430.23,1660
430.78,1696.2
431.33,1727.4
431.87,1772.6
432.42,1778.8
432.97,1799.2
433.51,1853.4
434.06,1819.2
434.61,1892.6
435.15,1929.8
435.7,1945
436.24,1991.4
436.79,2037
437.33,1992.2
437.88,2029.6
438.42,2088
438.97,2100.8
439.51,2108.2
440.05,2140.2
440.6,2182.4
441.14,2207.6
441.68,2250.4
442.23,2253.6
442.77,2305.4
443.31,2363.2
443.86,2363
444.4,2473.4
444.94,2438.2
445.48,2460.4
446.02,2457.8
446.56,2578.4
447.11,2601.8
447.65,2676
448.19,2659.4
448.73,2741.4
449.27,2721.6
449.81,2784.8
450.35,2843.2
450.89,2921.6
451.43,2975.6
451.97,2987.6
452.51,3021
453.04,3148
453.58,3103.2
454.12,3225.8
454.66,3286.6
455.2,3369
455.74,3309.8
456.27,3467.4
456.81,3515.6
457.35,3499
457.89,3562.4
458.42,3615.6
458.96,3691
459.5,3772
460.03,3789
460.57,3841.6
461.1,3943.2
461.64,3936.4
462.17,3935.4
462.71,4019.6
463.24,4009.4
463.78,4083.8
464.31,4118.4
464.85,4251.8
465.38,4287.4
465.92,4347.2
466.45,4360.4
466.98,4492.2
467.52,4525
468.05,4671
468.58,4684.6
