length,0dig,10dig,20dig,30dig,40dig,50dig,60dig,70dig,80dig,85dig
348.69,54.2,4.8,24.6,44.2,30.4,-18.2,10,-11.2,37.4,16.6
349.27,33.6,-1.8,67.8,2.8,27,-2,43.6,-21.4,37.4,16
349.84,78.6,25.6,45.6,42.4,40.4,43.4,2.2,-7.8,25.4,26.2
350.42,80.4,57.4,-1.8,26.6,14.6,29,24.8,-25.6,10.6,8.4
351,69,13.2,85.4,40.2,45.2,37.6,17.2,16.4,-3.4,-10.4
351.57,53,22,23.2,46,14.8,41.2,27.6,21.6,38.8,8.4
352.15,82.6,23.2,47.2,-0.8,45,13.6,65.2,9.2,11,-11
352.73,44.4,26.4,56,-1.4,29,43.4,20.2,33,-8,-15.8
353.3,49,7.4,46.6,1.2,51.4,22.6,13.6,26.8,-15.2,-6
353.88,20.2,53.4,18.8,22,53.6,46.8,32,24.8,-13.4,-20.4
354.45,29,21.8,25.6,8.6,30.2,9.6,21,17.2,24,-6.6
355.03,42.4,40.4,46.4,-14.4,30.6,47.8,56.6,5.4,-10.2,21.4
355.6,20.2,38.4,30.8,77.6,46.2,59.6,54.8,53.2,17.2,4
356.18,49.6,34,54.6,54.6,65,14.6,62.6,-7.6,-11.6,1.2
356.75,56.2,30.4,37.2,36.8,46.2,53.2,29.8,-5.2,14.4,13.6
357.33,24,13,7.8,21,44.2,30.2,5.6,46,-1.8,-2.6
357.9,26,15,0.2,39.8,3.2,25.4,66.6,-4,4.2,-13.2
358.47,12.6,71.4,39,70.6,16.8,56.4,1.4,-5.6,12.2,-12.8
359.05,17.4,49.2,60.2,45,32.8,61.2,-18.2,4.2,11.8,1.6
359.62,68.4,44.2,40.6,32.4,-5.6,24.8,3.6,-2,-23.2,2.8
360.19,77.4,48.2,51.4,35,41.6,45.4,2.6,36.2,11.6,0.6
360.77,16,69.8,34.4,35.8,6.8,31.8,19.2,7.8,23.8,17.8
361.34,33.2,23,31.2,13.2,29,15.4,35,8.8,10.6,-17
361.91,49.4,69.8,7.6,79.6,26.4,61.6,25.8,21.8,17.4,12
362.49,23.4,0.2,3.4,53.4,40.8,30.6,23.8,49.8,39.8,35.4
363.06,71.2,25.4,36.6,45,15.2,12.4,24.2,25.6,9.2,21.6
363.63,44.4,32,37.2,-4.8,35,26.8,12.2,18.2,-17,-9.6
364.2,41.4,32.4,62.6,43.6,6.2,44.4,17.6,14.8,-16.4,0
364.77,16,47.4,25,39.4,50,19,-4.8,3.4,-32.6,-32.2
365.34,33.2,48.2,17.8,48,2.8,13.4,-0.6,-11.8,-15.2,6.4
365.92,65.2,18.2,22.6,24.8,3.8,68.2,19.8,9,-7.6,11.4
366.49,27.8,13.2,33.8,66.6,28.8,23.8,35.4,25.4,1.4,6
367.06,61,-9.2,47.6,24.6,12.6,28,33.4,25.4,27.8,2
367.63,15,0.6,24.6,48.4,-18.4,34.2,23.2,38.4,18.8,10
368.2,37.8,16.8,30.6,23.6,9.6,24.4,8.8,45,10.8,18
368.77,57.4,-6.4,51.4,47,16,-10,31,21.6,-4.4,-21.4
369.34,62.8,14.2,20.2,31,30.8,50.8,13.2,5.4,0.8,-8
369.91,33,25.2,13.4,15.6,12.4,17.8,56.4,22.6,15.8,-5.2
370.48,47,40.8,36.6,27.8,52,-1.4,33.4,34.2,14.6,20.4
371.05,16.4,38.2,41,12.2,39,-13.2,42.4,28.4,31,-11
371.62,58.8,56,-6,48.4,33.2,12.6,-0.8,40.6,-0.6,37
372.19,91.6,80.8,28,20,4.6,22.4,17.8,-8.4,-17,24.6
372.75,21.2,1.4,-7.8,13.2,23.6,-12.2,-0.2,19.6,-7.2,-11
373.32,61.4,12.6,64.6,55.6,-13.2,21.6,16.6,1.4,31.4,28.6
373.89,15.4,26.4,38.6,-7.2,26,23.4,8.2,38,-4.8,-1.6
374.46,79.4,60,33.4,8.2,-0.8,37.2,-20.8,50,14.8,16.4
375.03,36,32.2,26,49,29.6,15.4,20.6,35.8,7.6,17.6
375.59,20.8,30.8,12.8,25,13.4,-1.2,61.6,52.8,-1,24.4
376.16,20.8,48.8,46,25.6,65.6,-2.6,51,14.6,33.8,28.4
376.73,12,51.6,34.8,-0.4,6,6.6,27,2.2,-4.8,20.4
377.3,31.8,40.8,0.6,10.8,-9.6,20.2,23.4,13.2,-31,-12.6
377.86,60.8,52.2,-1.8,5,31.8,64,21.4,25,3.6,-22.6
378.43,60,21.4,-13.6,54,14,29.2,10.4,20.8,-1.2,-8.2
379,51,49.4,38.6,55.6,-6.2,40.2,35.6,-18.8,-20.6,-4.8
