wave leght [nm]\ AOI [dig],0,5,10,15,20,25,30,35,40,45,50,55,60,65
348.69,2.8,14,19,-0.6,10.4,20.2,-16.8,9.2,26.8,28.6,11.2,20.6,-3.4,-3.8
349.27,14,-25.6,-7.8,-32.2,17.8,-6.8,-10.8,3,18.6,22.8,10,20.4,25.4,1.8
349.84,-30.6,-10.6,-1.6,-29,23.6,-7.2,-21.8,25.4,-1.6,12.6,11,13.6,16,6.8
350.42,12,8.2,4.8,23.8,-11.6,-10.2,-37.6,31.8,-32.8,46.2,1.4,-20.8,13.8,-5.2
351,2,-4.4,26,0.8,-36.4,11.4,-4.6,23,-8.4,-5.4,-14.2,8.4,1.4,-3.4
351.57,-38,-1.2,13.4,5.8,33.2,-11,-13.8,-1.4,4.2,3,39,1.4,30.2,4.8
352.15,-29.8,10.2,6,-1.4,22,-11.4,3.2,14.6,-15.6,11,31.8,-26.6,-8.6,12.2
352.73,-10.2,-2.4,0.8,-6.4,20,-6.8,12.6,-10.6,8.8,-9,-12.2,-4.6,21.6,14.8
353.3,-29.6,3.6,-15,-9.2,5.4,24.8,1.4,5.6,-4.8,29,60.2,-18.6,-4.4,7.8
353.88,-12.2,-31.6,-2.4,-12,-25.6,-0.4,23.8,-7,-44.2,-26.4,-0.6,39.2,-2.4,-38
354.45,15.8,-22,-0.6,-5.4,0.4,-10.2,9.4,-17.8,6.2,-9.8,-11.2,36,-22,5.2
355.03,0.2,18.4,7.2,-16.8,7.2,27.4,-25.8,-30.8,24,-3,-33.6,-8.4,10.2,-30.8
355.6,3,20.8,-15.2,-18,-31.8,-17.2,-25.2,-5,-18.2,-13.8,-18.4,22.4,9.8,-34.4
356.18,-2.2,30.6,-5.6,-14.4,8.2,23.2,-2.8,-29.4,1.8,24.2,-27.8,-14.6,32,22
356.75,17,4.8,-10.4,-8,1.8,8.2,-10,-29.6,0.4,-2.2,5.8,4,-5,-43
357.33,-13.4,15.6,-7.8,3.4,9,3.4,-22.4,-4.4,31.2,9.8,32.6,4.2,-15.8,1.6
357.9,-37,-14.4,-3,-19.2,6,-1,-4.2,-22.6,10.4,-13.2,31.8,6.2,-28,21.6
358.47,-3.6,-22.2,-1.8,-13.8,14.4,-22.4,-18,-8.4,-43.4,10,28.4,2,10.8,19
359.05,40.8,-10.8,10,11.4,-9.6,-15.6,-14.6,3,-11.2,-14.2,18,-14.6,3.8,8.4
359.62,43.4,-13.8,-13.6,-11.8,29.2,-24.6,-28.6,-29,-10,-11.4,-5.4,16.6,9.4,-58.2
360.19,9.2,-11.8,-16,-12.8,-20.6,-41,-14.6,-5.2,-28.2,-30.6,-8.6,9,-2.4,-26.6
360.77,-33.6,-32,8.2,-22.4,21.4,-20.6,-10.2,20.4,-43.4,25.4,-1,12.8,-0.2,4.4
361.34,19.8,-11.8,-32.8,-12.2,32,-27.6,-20.4,-4.6,-27.2,15.6,-19,16.2,-3.6,-30.2
361.91,2.8,-16.8,-26.2,15.8,19.8,4.2,29.4,-4,33.2,15.8,-67,-58,9,-35.6
362.49,-8.2,-9,22.6,6.4,-13.6,-5.6,-14.4,-6.8,27.8,16,-25.8,13.6,-8.8,33.8
363.06,-24,-3.2,24.2,33.4,-7.2,30.2,5,0.4,37.4,-0.6,-11.4,11.4,-22.2,3
363.63,-12.8,25.8,-13.6,26,-13,-31.6,-1.4,43.4,-9,-6.4,13.2,3.2,0,20.4
364.2,-10.6,9,13.6,-2.2,-23.4,22.6,8.8,-12.8,24.2,32.2,16.2,7.2,3,-5.4
364.77,6.2,9.4,31.4,1.4,9.8,1.4,-6,7.6,26.2,-3.8,-8.8,-42.6,-18.4,-3.8
365.34,-9,-6.2,-27.2,10.4,-7.4,-0.8,-16.2,-36.4,-2.4,-27.6,-28.8,0.6,-21.4,-19.8
365.92,17,19,-0.6,-11.4,15.8,11.6,4,-50.2,-10,-16.8,6,6.4,-1,-18.8
366.49,6.4,-22,-2.8,-4.8,10.6,-21.2,12.4,-6,-6.8,21,8.8,10.8,-43.4,10
367.06,7.2,42.8,-28.8,-13.6,24.2,24.6,18,-30.2,7.4,30.4,-11.8,-4.4,6.8,-19.4
367.63,2,9.6,-13.2,16,46.8,19.4,-43.4,-32.4,4.4,8.6,7,39,-15.4,-18.6
368.2,2.2,-26.2,-1.6,8.8,-12.6,30.6,-10.4,-14.8,9.2,6,9.4,13.8,-23.6,-7.8
368.77,14.6,-44.2,3.2,-12.6,17,-2.2,-12,-10.6,15.8,29.6,7.6,-37.4,-0.4,-7.2
369.34,5.6,-17.2,-0.6,-21.2,8.4,14.6,6.8,-1.8,-12.8,-14.8,2.2,24,10.8,-5.6
369.91,-16.2,6,7.6,-27.2,2.6,19.6,18.2,-13.4,31.4,10.4,-5.6,6.2,6.6,-13.8
370.48,1.6,26.2,20.8,-36.2,10,-7.8,2.6,19.4,-26.4,18.6,-30.8,-20.8,40.8,-5
371.05,-21.4,-2.2,10.6,-30.4,4.6,3.6,-4.4,26.4,-6,36.2,-57,-13.2,0.6,11.2
371.62,10,-27.2,-23,5.4,-11.8,5.2,-6.2,40.4,7.8,3.4,19.2,6.6,-14.6,12.6
372.19,36,-2,-3.2,4.2,-23.6,-19.8,21.4,42.4,0.4,6.2,-23.2,-4.2,2.4,0.6
372.75,-39.2,1.2,-17.6,-2.2,13.4,-6,38,5.4,-14.6,-36.2,9,-0.6,-6.8,8.8
373.32,15,-2.6,-20,-18.6,9,-23,5.8,6.4,11.4,-39.2,8.8,2.4,25.4,3.8
373.89,23.4,-4.6,12.6,2.8,-1.6,-26.4,-3.8,15,-17.6,-19.4,6.2,22.8,-7,10.6
374.46,37.4,21.4,-47,-33,-28.8,12.8,-5.4,1.8,9.2,-12.2,-8.2,23.2,-30.2,-1
375.03,-16.8,46.6,-12.4,19.2,34.4,-21,-1.2,-22.6,-19.4,-1.8,13.4,27.4,-53.6,-2.4
375.59,-6.2,7.8,-9.4,-9,-13.2,17.2,-12.2,27.4,-12.6,-17,15.4,-4.4,-14,5
376.16,-18.4,-0.4,-11.8,-14.2,-0.8,27.4,-4.6,-8.2,-4.8,14,-23.4,-14.2,-24.6,-20.8
376.73,16.6,-21,14.4,-6.6,9.4,29.8,15.2,-8,-16.8,1,-7.4,-15.4,16,13.4
377.3,11.2,-4.6,-29.2,-3.2,36.2,-30.8,25.2,-0.6,8,-20.8,3.8,-9.6,11.4,19.8
377.86,-1.6,-14.4,-17.4,-25.2,25.8,11,15,25.8,-6,-7.6,13.4,-12,-13.4,-16.4
378.43,9.6,-16.2,15,33.2,11.4,-2.2,-10,12.4,-3.6,0,7,-17.4,-49.8,1.2
379,28.4,-1.8,23.2,27.4,-13.6,6.2,-5.8,2.8,-6.6,-34,-10.6,6.4,18.6,-3.6
379.56,20.6,28.4,4.4,-11.4,17.6,-3.6,-11.2,-25.6,-12.4,10,-13.6,4.6,-14.4,28.4
380.13,2.8,21.8,24.8,-18.8,2,24.2,-34,-41.6,8.6,-10.4,18,-5.8,-7,-0.2
380.69,23.6,5.6,5.2,-3.6,-1.6,34.6,-14.2,3.2,-34.6,-32.4,12.6,-31.4,36.4,-8
381.26,-3.8,27.4,5.8,-30.4,4,38.2,-15.8,16.4,-27,14,-22.8,-25.6,10,2.4
381.83,21.8,15,15.8,-10,15.6,6.8,-13.6,-1,-20,-10.2,11.6,-14.6,-17.8,10.8
382.39,1.6,14.4,-16.6,-22.6,12.8,-2,-27.8,8.6,0.2,27.2,-2.6,-25.2,-25.4,19.2
382.96,2.6,1,-3.8,27.8,22.2,-3.2,-28.4,24.8,12.4,-21.2,30.4,15.4,-0.2,36.2
383.52,24.8,-17.6,-12.8,15.6,31.4,-3.2,-23,-8.8,-23.8,-0.4,0.8,26.6,30.2,8.2
384.09,38.8,4.8,3.8,-4,38.2,-10.4,-29,21.2,-23.4,-65.4,20.6,33.8,-6.8,23.2
384.65,4.8,1.6,19,-18.6,13.6,6,-12,-22.8,-39.2,14.4,35.4,-10.6,36.2,-25
385.21,-23.8,13.8,21,-33.6,13,-6,-9,-25.8,-13.6,-0.2,-3.2,-19.2,2.4,12.2
385.78,-12.6,-8,16.4,2,44.8,9.4,-26.2,2,-2.4,9.4,7.4,8.4,-5.8,30
386.34,4.8,-8.2,24.6,-12.6,23,-8.4,-21,-1.4,-4,0.4,-11.4,-8.8,7.2,18.2
386.91,16.6,8.6,25.8,-1.6,-9,25,10.4,34.4,-39.6,-11,23,-8.8,9.6,5.4
387.47,15.6,-13.4,29.8,28.2,11.2,15,-4.4,-13,2.2,-45.2,-2.2,12.2,2,-19.2
388.03,11.4,28.4,19.8,36.6,-9.6,-5.8,-0.8,-8.6,-33,9.2,4,15,4.4,-6.8
388.6,39.8,15.6,51.2,4,24,-24.8,-11.2,-12,19.2,-2.4,19.6,-10,14.2,-36
389.16,23.2,31.4,27.2,-17.8,23,-27.2,0,21.6,-16.2,27.6,-41.8,-45.6,17.4,5.8
389.72,30,-33.2,1,-21.6,0.4,-34.2,-13,7.8,-12,8,-17.4,-7,15.4,5.4
390.28,2,-6.6,1.4,-12.2,-7.8,-38.8,19.4,-19,4.2,-3.8,25.2,19.2,37.6,12.8
390.85,52.4,-14.4,-13.6,-18.8,-10.4,17.8,7.2,9.8,2.6,-18.4,33.4,-11.8,28.8,27.2
391.41,25.8,17,21.6,-19.8,2.4,27.4,-13.2,-46,-24,10.4,-2.2,-29.8,-22.6,17
391.97,-1.2,45.2,4.2,-37.8,2.2,-32.6,-16,14.8,5.4,-7.2,-22.6,-3.4,12,2.2
392.53,1.4,1,5.6,7,0.4,-2.8,-39.4,25,-0.2,-13.2,-1.4,-15.8,5,25
393.09,-20.6,-13.2,-13.6,-40,-7.8,-2.8,-26.2,15.8,-23.8,29.2,-12.8,-2.6,-17.6,19
393.65,3.4,-10.2,10.2,43.2,-32.6,-19,-22,-11.8,39.6,21.6,-21,-0.6,7,0.2
394.21,-14.6,22.2,31.6,-9.4,14,-4.6,5.6,14,6.6,-2.8,6,38.8,7.2,-34
394.77,-20,18.4,-30.8,-3.2,45.8,10,1.6,-9.6,-16.6,2.8,-24.6,-2,6.6,1.2
395.34,-23.6,4,-11,3.6,48.2,-7,-8,-17.2,-1.8,8.8,-12,17.4,13,15.6
395.9,8.2,-12.2,2,9.8,6,-36,-9,29.2,-17.6,-2.4,6.6,10.4,-19,25.2
396.46,-15.2,-48.4,-25.6,5,30.6,0.4,-1.2,-21,13.8,-11.4,-4.6,1,7.6,13.8
397.02,18.4,-3.2,-11.4,-11.8,17.2,-1.4,-10.4,-5.8,-1.6,-4.6,13.6,-42.8,24.8,-23.6
397.58,17.8,-8.6,-1.8,4.8,45.4,13,1.8,-3.8,-16.6,-7,26.4,3.8,-5.6,2.2
398.13,10.4,9.6,-2,14.4,8,26.2,-7.4,6.2,-21.2,-7.8,6.6,-3.4,3.6,-12.8
398.69,-0.6,-35.2,21,-14.4,16.2,-22.4,26.2,-12.6,-9,-14.8,0.6,-14.6,-23.8,4.6
399.25,3.4,-5.8,-20.6,19.2,17.8,-5.8,9.4,3.8,27.8,-6.2,34.6,20.4,-1.4,13.6
399.81,6.4,-18.2,-14.6,17.4,15.6,-6.6,1.4,19.2,-2.4,-3.6,8.2,-23.4,10.8,5.8
400.37,19.2,-26.8,28,8.8,20.2,-26.6,-26.2,5.8,-6.8,-6,-12,-8.6,-0.6,-18.8
400.93,-24.8,-26.8,22.6,-42,-16,-5.6,-30.8,-12.2,22,13.6,16.6,-8.4,3,7.8
401.49,10.6,-18.8,-5.8,-37.6,-28.8,5.6,39.8,-46,-13,-19.8,-7.4,12.8,6,-20
